WAVY_ID:Dado:Timestamp
WAVY04:37.020066,-7.930181:2025-01-01-00-00-00
WAVY01:38.529632,-8.889699:2025-01-01-00-04-35
WAVY01:38.530058,-8.889804:2025-01-01-00-04-40
WAVY01:38.530219,-8.890068:2025-01-01-00-04-45
WAVY01:38.529890,-8.889546:2025-01-01-00-04-50
WAVY01:38.529514,-8.890170:2025-01-01-00-04-55
WAVY04:37.019578,-7.930087:2025-01-01-00-05-00
WAVY04:37.019574,-7.929643:2025-01-01-00-05-05
WAVY04:37.019707,-7.929835:2025-01-01-00-05-10
WAVY04:37.019811,-7.929865:2025-01-01-00-05-15
WAVY04:37.020391,-7.930303:2025-01-01-00-05-20
WAVY01:38.529755,-8.889982:2025-01-01-00-05-00
WAVY01:38.529574,-8.889643:2025-01-01-00-05-05
WAVY01:38.530258,-8.890196:2025-01-01-00-05-10
WAVY01:38.530258,-8.889834:2025-01-01-00-05-15
WAVY01:38.530203,-8.889903:2025-01-01-00-05-20
WAVY04:37.019566,-7.930300:2025-01-01-00-05-25
WAVY04:37.020087,-7.929894:2025-01-01-00-05-30
WAVY04:37.019946,-7.930220:2025-01-01-00-05-35
WAVY04:37.020042,-7.929612:2025-01-01-00-05-40
WAVY04:37.019633,-7.929876:2025-01-01-00-05-45
WAVY01:38.529802,-8.889589:2025-01-01-00-05-25
WAVY01:38.529814,-8.890447:2025-01-01-00-05-30
WAVY01:38.529593,-8.889938:2025-01-01-00-05-35
WAVY01:38.530226,-8.890314:2025-01-01-00-05-40
WAVY01:38.529849,-8.889819:2025-01-01-00-05-45
WAVY01:38.529677,-8.890499:2025-01-01-00-05-50
WAVY01:38.530011,-8.889698:2025-01-01-00-05-55
WAVY01:38.530345,-8.889650:2025-01-01-00-06-00
WAVY01:38.530370,-8.890329:2025-01-01-00-06-05
WAVY01:38.529893,-8.890169:2025-01-01-00-06-10
WAVY04:37.019788,-7.930288:2025-01-01-00-05-50
WAVY04:37.019786,-7.929827:2025-01-01-00-05-55
WAVY04:37.019985,-7.930064:2025-01-01-00-06-00
WAVY04:37.019710,-7.930326:2025-01-01-00-06-05
WAVY04:37.019583,-7.929643:2025-01-01-00-06-10
WAVY04:39.739735,-8.809785:2025-01-01-00-00-00
WAVY04:39.739958,-8.810478:2025-01-01-00-00-05
WAVY04:39.739727,-8.809595:2025-01-01-00-00-10
WAVY04:39.739932,-8.810493:2025-01-01-00-00-15
WAVY04:39.739736,-8.810092:2025-01-01-00-00-20
WAVY01:38.530321,-8.890143:2025-01-01-00-06-15
WAVY01:38.530029,-8.889556:2025-01-01-00-06-20
WAVY01:38.530339,-8.890299:2025-01-01-00-06-25
WAVY01:38.530276,-8.890408:2025-01-01-00-06-30
WAVY01:38.529953,-8.890499:2025-01-01-00-06-35
WAVY04:37.019919,-7.929654:2025-01-01-00-06-15
WAVY04:37.020029,-7.929556:2025-01-01-00-06-20
WAVY04:37.019771,-7.930039:2025-01-01-00-06-25
WAVY04:37.020276,-7.930408:2025-01-01-00-06-30
WAVY04:37.020191,-7.929932:2025-01-01-00-06-35
WAVY04:37.020332,-7.929578:2025-01-01-00-06-40
WAVY04:37.019746,-7.929892:2025-01-01-00-06-45
WAVY04:37.019866,-7.930093:2025-01-01-00-06-50
WAVY04:37.019548,-7.929658:2025-01-01-00-06-55
WAVY04:37.020191,-7.930136:2025-01-01-00-07-00
WAVY01:38.529676,-8.890192:2025-01-01-00-06-40
WAVY01:38.529581,-8.889735:2025-01-01-00-06-45
WAVY01:38.529570,-8.890035:2025-01-01-00-06-50
WAVY01:38.529867,-8.889595:2025-01-01-00-06-55
WAVY01:38.530184,-8.889959:2025-01-01-00-07-00
WAVY04:37.019692,-7.929711:2025-01-01-00-07-05
WAVY04:37.020057,-7.930198:2025-01-01-00-07-10
WAVY04:37.020153,-7.929713:2025-01-01-00-07-15
WAVY04:37.019995,-7.929507:2025-01-01-00-07-20
WAVY04:37.020145,-7.930138:2025-01-01-00-07-25
WAVY01:38.529597,-8.889777:2025-01-01-00-07-05
WAVY01:38.529518,-8.889570:2025-01-01-00-07-10
WAVY01:38.529804,-8.890258:2025-01-01-00-07-15
WAVY01:38.529959,-8.889992:2025-01-01-00-07-20
WAVY01:38.530452,-8.890337:2025-01-01-00-07-25
WAVY01:38.530150,-8.890471:2025-01-01-00-07-30
WAVY01:38.529884,-8.890473:2025-01-01-00-07-35
WAVY01:38.530249,-8.889835:2025-01-01-00-07-40
WAVY01:38.529549,-8.889645:2025-01-01-00-07-45
WAVY01:38.530113,-8.889815:2025-01-01-00-07-50
WAVY04:37.019835,-7.930464:2025-01-01-00-07-30
WAVY04:37.019752,-7.930276:2025-01-01-00-07-35
WAVY04:37.020208,-7.929613:2025-01-01-00-07-40
WAVY04:37.019880,-7.929549:2025-01-01-00-07-45
WAVY04:37.020110,-7.930188:2025-01-01-00-07-50
WAVY04:37.019574,-7.929589:2025-01-01-00-07-55
WAVY04:37.020287,-7.930305:2025-01-01-00-08-00
WAVY04:37.019915,-7.929894:2025-01-01-00-08-05
WAVY04:37.019711,-7.930080:2025-01-01-00-08-10
WAVY04:37.020176,-7.930209:2025-01-01-00-08-15
WAVY01:38.530347,-8.889511:2025-01-01-00-07-55
WAVY01:38.530374,-8.890129:2025-01-01-00-08-00
WAVY01:38.529882,-8.890215:2025-01-01-00-08-05
WAVY01:38.530392,-8.890452:2025-01-01-00-08-10
WAVY01:38.530041,-8.889664:2025-01-01-00-08-15
WAVY04:37.019658,-7.930374:2025-01-01-00-08-20
WAVY04:37.020168,-7.929640:2025-01-01-00-08-25
WAVY04:37.020361,-7.930325:2025-01-01-00-08-30
WAVY04:37.020139,-7.929980:2025-01-01-00-08-35
WAVY04:37.020263,-7.930144:2025-01-01-00-08-40
WAVY01:38.530152,-8.889511:2025-01-01-00-08-20
WAVY01:38.529717,-8.889811:2025-01-01-00-08-25
WAVY01:38.529876,-8.890368:2025-01-01-00-08-30
WAVY01:38.530491,-8.890158:2025-01-01-00-08-35
WAVY01:38.530486,-8.890196:2025-01-01-00-08-40
WAVY04:37.019922,-7.930210:2025-01-01-00-08-45
WAVY04:37.019679,-7.930499:2025-01-01-00-08-50
WAVY04:37.020158,-7.930015:2025-01-01-00-08-55
WAVY04:37.020141,-7.929676:2025-01-01-00-09-00
WAVY04:37.019860,-7.930398:2025-01-01-00-09-05
WAVY01:38.529987,-8.890134:2025-01-01-00-08-45
WAVY01:38.530445,-8.890049:2025-01-01-00-08-50
WAVY01:38.529712,-8.890167:2025-01-01-00-08-55
WAVY01:38.530144,-8.890086:2025-01-01-00-09-00
WAVY01:38.529977,-8.890016:2025-01-01-00-09-05
WAVY01:38.529859,-8.890185:2025-01-01-00-09-10
WAVY01:38.530431,-8.890395:2025-01-01-00-09-15
WAVY01:38.530088,-8.889682:2025-01-01-00-09-20
WAVY01:38.530482,-8.889720:2025-01-01-00-09-25
WAVY01:38.530329,-8.890386:2025-01-01-00-09-30
WAVY04:37.019967,-7.929585:2025-01-01-00-09-10
WAVY04:37.020391,-7.929536:2025-01-01-00-09-15
WAVY04:37.020078,-7.930189:2025-01-01-00-09-20
WAVY04:37.020469,-7.929564:2025-01-01-00-09-25
WAVY04:37.020329,-7.930386:2025-01-01-00-09-30
WAVY04:37.019960,-7.929960:2025-01-01-00-09-35
WAVY04:37.019710,-7.929802:2025-01-01-00-09-40
WAVY04:37.020436,-7.930322:2025-01-01-00-09-45
WAVY04:37.020444,-7.930315:2025-01-01-00-09-50
WAVY04:37.020116,-7.929665:2025-01-01-00-09-55
WAVY01:38.529928,-8.889788:2025-01-01-00-09-35
WAVY01:38.529805,-8.890204:2025-01-01-00-09-40
WAVY01:38.529953,-8.890228:2025-01-01-00-09-45
WAVY01:38.530134,-8.889957:2025-01-01-00-09-50
WAVY01:38.530311,-8.890469:2025-01-01-00-09-55
WAVY04:39.740362,-8.809722:2025-01-01-00-00-25
WAVY04:39.740132,-8.809587:2025-01-01-00-00-30
WAVY04:39.739523,-8.809856:2025-01-01-00-00-35
WAVY04:39.740373,-8.809659:2025-01-01-00-00-40
WAVY04:39.740156,-8.810082:2025-01-01-00-00-45
WAVY04:37.019623,-7.930268:2025-01-01-00-10-00
WAVY04:37.019737,-7.929559:2025-01-01-00-10-05
WAVY04:37.020141,-7.930455:2025-01-01-00-10-10
WAVY04:37.020250,-7.929560:2025-01-01-00-10-15
WAVY04:37.019708,-7.930401:2025-01-01-00-10-20
WAVY01:38.529732,-8.890460:2025-01-01-00-10-00
WAVY01:38.529737,-8.889559:2025-01-01-00-10-05
WAVY01:38.529788,-8.890455:2025-01-01-00-10-10
WAVY01:38.529617,-8.890051:2025-01-01-00-10-15
WAVY01:38.529734,-8.890465:2025-01-01-00-10-20
WAVY04:37.020172,-7.930353:2025-01-01-00-10-25
WAVY04:37.019559,-7.930371:2025-01-01-00-10-30
WAVY04:37.019812,-7.929824:2025-01-01-00-10-35
WAVY04:37.019663,-7.930316:2025-01-01-00-10-40
WAVY04:37.019621,-7.929580:2025-01-01-00-10-45
WAVY01:38.529790,-8.889520:2025-01-01-00-10-25
WAVY01:38.530091,-8.890070:2025-01-01-00-10-30
WAVY01:38.529893,-8.889797:2025-01-01-00-10-35
WAVY01:38.530235,-8.890099:2025-01-01-00-10-40
WAVY01:38.530352,-8.890231:2025-01-01-00-10-45
WAVY01:38.529680,-8.889743:2025-01-01-00-10-50
WAVY01:38.530383,-8.890259:2025-01-01-00-10-55
WAVY01:38.529986,-8.890336:2025-01-01-00-11-00
WAVY01:38.530222,-8.889870:2025-01-01-00-11-05
WAVY01:38.530274,-8.890222:2025-01-01-00-11-10
WAVY04:37.019615,-7.930451:2025-01-01-00-10-50
WAVY04:37.020152,-7.930156:2025-01-01-00-10-55
WAVY04:37.020301,-7.930284:2025-01-01-00-11-00
WAVY04:37.019986,-7.930247:2025-01-01-00-11-05
WAVY04:37.020450,-7.929882:2025-01-01-00-11-10
WAVY01:38.530079,-8.889960:2025-01-01-00-11-15
WAVY01:38.529811,-8.890472:2025-01-01-00-11-20
WAVY01:38.530365,-8.889854:2025-01-01-00-11-25
WAVY01:38.529762,-8.889582:2025-01-01-00-11-30
WAVY01:38.530186,-8.889932:2025-01-01-00-11-35
WAVY04:37.019958,-7.930300:2025-01-01-00-11-15
WAVY04:37.020356,-7.929569:2025-01-01-00-11-20
WAVY04:37.019829,-7.929761:2025-01-01-00-11-25
WAVY04:37.019762,-7.929582:2025-01-01-00-11-30
WAVY04:37.020186,-7.929932:2025-01-01-00-11-35
WAVY01:38.529773,-8.889793:2025-01-01-00-11-40
WAVY01:38.530176,-8.890463:2025-01-01-00-11-45
WAVY01:38.529658,-8.890107:2025-01-01-00-11-50
WAVY01:38.530420,-8.889574:2025-01-01-00-11-55
WAVY01:38.529913,-8.890378:2025-01-01-00-12-00
WAVY04:37.019613,-7.930377:2025-01-01-00-11-40
WAVY04:37.020443,-7.930445:2025-01-01-00-11-45
WAVY04:37.019546,-7.929942:2025-01-01-00-11-50
WAVY04:37.020426,-7.930084:2025-01-01-00-11-55
WAVY04:37.020156,-7.930231:2025-01-01-00-12-00
WAVY01:38.529751,-8.889903:2025-01-01-00-12-05
WAVY01:38.530045,-8.890086:2025-01-01-00-12-10
WAVY01:38.530185,-8.889976:2025-01-01-00-12-15
WAVY01:38.530232,-8.890053:2025-01-01-00-12-20
WAVY01:38.530145,-8.890304:2025-01-01-00-12-25
WAVY04:37.019751,-7.929903:2025-01-01-00-12-05
WAVY04:37.020449,-7.929957:2025-01-01-00-12-10
WAVY04:37.019693,-7.930486:2025-01-01-00-12-15
WAVY04:37.019731,-7.929937:2025-01-01-00-12-20
WAVY04:37.020074,-7.930419:2025-01-01-00-12-25
WAVY04:37.020161,-7.929879:2025-01-01-00-12-30
WAVY04:37.019875,-7.929768:2025-01-01-00-12-35
WAVY04:37.020196,-7.929756:2025-01-01-00-12-40
WAVY04:37.019697,-7.930002:2025-01-01-00-12-45
WAVY04:37.020363,-7.930085:2025-01-01-00-12-50
WAVY01:38.530290,-8.889521:2025-01-01-00-12-30
WAVY01:38.529875,-8.889768:2025-01-01-00-12-35
WAVY01:38.530120,-8.890032:2025-01-01-00-12-40
WAVY01:38.529829,-8.890481:2025-01-01-00-12-45
WAVY01:38.529940,-8.890262:2025-01-01-00-12-50
WAVY04:37.019610,-7.930145:2025-01-01-00-12-55
WAVY04:37.020434,-7.929564:2025-01-01-00-13-00
WAVY04:37.020176,-7.929547:2025-01-01-00-13-05
WAVY04:37.019528,-7.929877:2025-01-01-00-13-10
WAVY04:37.020192,-7.929788:2025-01-01-00-13-15
WAVY01:38.530428,-8.890226:2025-01-01-00-12-55
WAVY01:38.530071,-8.890153:2025-01-01-00-13-00
WAVY01:38.530265,-8.889880:2025-01-01-00-13-05
WAVY01:38.529718,-8.889516:2025-01-01-00-13-10
WAVY01:38.529662,-8.889632:2025-01-01-00-13-15
WAVY04:37.019653,-7.930265:2025-01-01-00-13-20
WAVY04:37.020368,-7.930334:2025-01-01-00-13-25
WAVY04:37.020170,-7.930330:2025-01-01-00-13-30
WAVY04:37.019879,-7.929995:2025-01-01-00-13-35
WAVY04:37.020204,-7.929510:2025-01-01-00-13-40
WAVY01:38.530461,-8.889752:2025-01-01-00-13-20
WAVY01:38.529858,-8.889834:2025-01-01-00-13-25
WAVY01:38.530170,-8.890330:2025-01-01-00-13-30
WAVY01:38.529879,-8.890457:2025-01-01-00-13-35
WAVY01:38.530078,-8.890481:2025-01-01-00-13-40
WAVY01:38.530388,-8.890333:2025-01-01-00-13-45
WAVY01:38.529692,-8.890464:2025-01-01-00-13-50
WAVY01:38.530231,-8.889670:2025-01-01-00-13-55
WAVY01:38.529688,-8.889708:2025-01-01-00-14-00
WAVY01:38.529805,-8.889803:2025-01-01-00-14-05
WAVY04:37.020102,-7.930380:2025-01-01-00-13-45
WAVY04:37.019591,-7.929750:2025-01-01-00-13-50
WAVY04:37.020231,-7.929670:2025-01-01-00-13-55
WAVY04:37.019858,-7.929766:2025-01-01-00-14-00
WAVY04:37.019632,-7.930034:2025-01-01-00-14-05
WAVY04:37.019592,-7.930238:2025-01-01-00-14-10
WAVY04:37.020104,-7.929522:2025-01-01-00-14-15
WAVY04:37.019675,-7.930380:2025-01-01-00-14-20
WAVY04:37.019976,-7.929865:2025-01-01-00-14-25
WAVY04:37.020389,-7.929677:2025-01-01-00-14-30
WAVY01:38.530331,-8.890099:2025-01-01-00-14-10
WAVY01:38.530104,-8.889522:2025-01-01-00-14-15
WAVY01:38.529574,-8.889546:2025-01-01-00-14-20
WAVY01:38.529614,-8.890387:2025-01-01-00-14-25
WAVY01:38.529779,-8.889969:2025-01-01-00-14-30
WAVY04:37.020490,-7.929736:2025-01-01-00-14-35
WAVY04:37.020246,-7.930082:2025-01-01-00-14-40
WAVY04:37.020213,-7.929899:2025-01-01-00-14-45
WAVY04:37.020495,-7.930006:2025-01-01-00-14-50
WAVY04:37.019737,-7.930449:2025-01-01-00-14-55
WAVY01:38.530279,-8.890358:2025-01-01-00-14-35
WAVY01:38.529797,-8.890475:2025-01-01-00-14-40
WAVY01:38.529601,-8.889605:2025-01-01-00-14-45
WAVY01:38.529981,-8.889633:2025-01-01-00-14-50
WAVY01:38.529511,-8.890142:2025-01-01-00-14-55
WAVY01:38.520326,-8.889815:2025-01-01-00-00-00
WAVY01:38.519725,-8.890347:2025-01-01-00-00-05
WAVY01:38.519506,-8.890256:2025-01-01-00-00-10
WAVY01:38.519514,-8.889560:2025-01-01-00-00-15
WAVY01:38.520473,-8.889823:2025-01-01-00-00-20
WAVY01:38.520421,-8.890481:2025-01-01-00-00-25
WAVY01:38.520084,-8.890232:2025-01-01-00-00-30
WAVY01:38.519798,-8.889868:2025-01-01-00-00-35
WAVY01:38.519852,-8.889863:2025-01-01-00-00-40
WAVY01:38.519949,-8.890170:2025-01-01-00-00-45
WAVY04:39.739995,-8.809660:2025-01-01-00-00-50
WAVY04:39.739563,-8.810176:2025-01-01-00-00-55
WAVY04:39.740344,-8.809995:2025-01-01-00-01-00
WAVY04:39.739594,-8.810416:2025-01-01-00-01-05
WAVY04:39.739717,-8.809862:2025-01-01-00-01-10
WAVY01:38.520354,-8.890220:2025-01-01-00-00-50
WAVY01:38.519824,-8.889755:2025-01-01-00-00-55
WAVY01:38.519760,-8.890338:2025-01-01-00-01-00
WAVY01:38.519912,-8.890406:2025-01-01-00-01-05
WAVY01:38.520138,-8.890097:2025-01-01-00-01-10
WAVY04:39.740297,-8.809662:2025-01-01-00-01-15
WAVY04:39.740316,-8.810131:2025-01-01-00-01-20
WAVY04:39.740003,-8.809513:2025-01-01-00-01-25
WAVY04:39.740494,-8.809869:2025-01-01-00-01-30
WAVY04:39.740132,-8.809884:2025-01-01-00-01-35
WAVY01:38.519542,-8.889735:2025-01-01-00-01-15
WAVY01:38.519711,-8.890140:2025-01-01-00-01-20
WAVY01:38.519502,-8.890366:2025-01-01-00-01-25
WAVY01:38.520494,-8.889869:2025-01-01-00-01-30
WAVY01:38.520002,-8.889691:2025-01-01-00-01-35
WAVY04:39.739594,-8.809956:2025-01-01-00-01-40
WAVY04:39.740067,-8.809675:2025-01-01-00-01-45
WAVY04:39.739900,-8.809893:2025-01-01-00-01-50
WAVY04:39.740230,-8.809902:2025-01-01-00-01-55
WAVY04:39.739958,-8.809929:2025-01-01-00-02-00
WAVY01:38.520225,-8.890106:2025-01-01-00-01-40
WAVY01:38.519957,-8.890019:2025-01-01-00-01-45
WAVY01:38.520049,-8.890283:2025-01-01-00-01-50
WAVY01:38.519504,-8.889514:2025-01-01-00-01-55
WAVY01:38.519812,-8.889558:2025-01-01-00-02-00
WAVY04:39.739620,-8.809738:2025-01-01-00-02-05
WAVY04:39.740073,-8.810057:2025-01-01-00-02-10
WAVY04:39.740003,-8.809839:2025-01-01-00-02-15
WAVY04:39.739930,-8.809809:2025-01-01-00-02-20
WAVY04:39.739603,-8.809979:2025-01-01-00-02-25
WAVY01:38.520284,-8.890380:2025-01-01-00-02-05
WAVY01:38.520197,-8.889949:2025-01-01-00-02-10
WAVY01:38.519842,-8.889899:2025-01-01-00-02-15
WAVY01:38.519845,-8.889774:2025-01-01-00-02-20
WAVY01:38.519557,-8.890196:2025-01-01-00-02-25
WAVY04:39.740452,-8.810237:2025-01-01-00-02-30
WAVY04:39.739544,-8.809830:2025-01-01-00-02-35
WAVY04:39.740462,-8.809527:2025-01-01-00-02-40
WAVY04:39.739924,-8.810364:2025-01-01-00-02-45
WAVY04:39.740098,-8.809791:2025-01-01-00-02-50
WAVY01:38.519817,-8.889977:2025-01-01-00-02-30
WAVY01:38.520145,-8.890014:2025-01-01-00-02-35
WAVY01:38.519724,-8.890104:2025-01-01-00-02-40
WAVY01:38.519980,-8.890070:2025-01-01-00-02-45
WAVY01:38.520035,-8.890051:2025-01-01-00-02-50
WAVY01:38.519601,-8.890252:2025-01-01-00-02-55
WAVY01:38.519676,-8.890392:2025-01-01-00-03-00
WAVY01:38.520105,-8.889699:2025-01-01-00-03-05
WAVY01:38.520469,-8.889808:2025-01-01-00-03-10
WAVY01:38.519734,-8.889792:2025-01-01-00-03-15
WAVY04:39.740233,-8.810000:2025-01-01-00-02-55
WAVY04:39.739650,-8.809892:2025-01-01-00-03-00
WAVY04:39.740007,-8.809752:2025-01-01-00-03-05
WAVY04:39.739795,-8.810341:2025-01-01-00-03-10
WAVY04:39.739902,-8.809804:2025-01-01-00-03-15
WAVY04:39.740096,-8.809981:2025-01-01-00-03-20
WAVY04:39.739648,-8.809527:2025-01-01-00-03-25
WAVY04:39.739815,-8.810459:2025-01-01-00-03-30
WAVY04:39.739590,-8.809809:2025-01-01-00-03-35
WAVY04:39.739882,-8.809664:2025-01-01-00-03-40
WAVY01:38.520019,-8.889968:2025-01-01-00-03-20
WAVY01:38.519998,-8.889952:2025-01-01-00-03-25
WAVY01:38.519660,-8.889720:2025-01-01-00-03-30
WAVY01:38.519663,-8.890356:2025-01-01-00-03-35
WAVY01:38.519899,-8.889696:2025-01-01-00-03-40
WAVY04:39.740441,-8.810299:2025-01-01-00-03-45
WAVY04:39.740453,-8.810419:2025-01-01-00-03-50
WAVY04:39.740421,-8.809688:2025-01-01-00-03-55
WAVY04:39.739757,-8.809783:2025-01-01-00-04-00
WAVY04:39.740479,-8.809726:2025-01-01-00-04-05
WAVY01:38.519899,-8.890368:2025-01-01-00-03-45
WAVY01:38.520232,-8.890377:2025-01-01-00-03-50
WAVY01:38.519663,-8.890112:2025-01-01-00-03-55
WAVY01:38.520414,-8.889557:2025-01-01-00-04-00
WAVY01:38.519914,-8.890471:2025-01-01-00-04-05
WAVY04:39.740331,-8.809527:2025-01-01-00-04-10
WAVY04:39.739984,-8.810231:2025-01-01-00-04-15
WAVY04:39.739785,-8.810369:2025-01-01-00-04-20
WAVY04:39.740074,-8.809638:2025-01-01-00-04-25
