WAVY_ID:Dado:Timestamp
WAVY01:41.700484,-8.829774:2025-01-01-00-00-25
WAVY02:40.639539,-8.650310:2025-01-01-00-03-05
WAVY02:40.639897,-8.649703:2025-01-01-00-03-10
WAVY02:40.639794,-8.650438:2025-01-01-00-03-15
WAVY01:41.699788,-8.829951:2025-01-01-00-02-30
WAVY01:41.699644,-8.830206:2025-01-01-00-02-35
WAVY01:41.700413,-8.829939:2025-01-01-00-02-40
WAVY01:41.699814,-8.830103:2025-01-01-00-02-45
WAVY01:41.699749,-8.829793:2025-01-01-00-02-50
WAVY02:40.639836,-8.650381:2025-01-01-00-03-20
WAVY02:40.640490,-8.649723:2025-01-01-00-03-25
WAVY02:40.639695,-8.649874:2025-01-01-00-03-30
WAVY02:40.640377,-8.650056:2025-01-01-00-03-35
WAVY02:40.639919,-8.649794:2025-01-01-00-03-40
WAVY01:41.699747,-8.830042:2025-01-01-00-02-55
WAVY01:41.699711,-8.830205:2025-01-01-00-03-00
WAVY01:41.699652,-8.830314:2025-01-01-00-03-05
WAVY01:41.700320,-8.829640:2025-01-01-00-03-10
WAVY01:41.699646,-8.829908:2025-01-01-00-03-15
WAVY02:40.640075,-8.649938:2025-01-01-00-03-45
WAVY02:40.640054,-8.649580:2025-01-01-00-03-50
WAVY02:40.640419,-8.650496:2025-01-01-00-03-55
WAVY02:40.639986,-8.649996:2025-01-01-00-04-00
WAVY02:40.639871,-8.649950:2025-01-01-00-04-05
WAVY01:41.700322,-8.830129:2025-01-01-00-03-20
WAVY01:41.699983,-8.829950:2025-01-01-00-03-25
WAVY01:41.700308,-8.829742:2025-01-01-00-03-30
WAVY01:41.699981,-8.830235:2025-01-01-00-03-35
WAVY01:41.699662,-8.830275:2025-01-01-00-03-40
WAVY01:41.699555,-8.829696:2025-01-01-00-03-45
WAVY01:41.699645,-8.829858:2025-01-01-00-03-50
WAVY01:41.700189,-8.830374:2025-01-01-00-03-55
WAVY01:41.700493,-8.830201:2025-01-01-00-04-00
WAVY01:41.700261,-8.829805:2025-01-01-00-04-05
WAVY02:40.640428,-8.650094:2025-01-01-00-04-10
WAVY02:40.640433,-8.650108:2025-01-01-00-04-15
WAVY02:40.639863,-8.650399:2025-01-01-00-04-20
WAVY02:40.639621,-8.649551:2025-01-01-00-04-25
WAVY02:40.639959,-8.650006:2025-01-01-00-04-30
WAVY02:40.640209,-8.650349:2025-01-01-00-04-35
WAVY02:40.639549,-8.650420:2025-01-01-00-04-40
WAVY02:40.640011,-8.650114:2025-01-01-00-04-45
WAVY02:40.640227,-8.650162:2025-01-01-00-04-50
WAVY02:40.639654,-8.650035:2025-01-01-00-04-55
WAVY01:41.699626,-8.830395:2025-01-01-00-04-10
WAVY01:41.700397,-8.829693:2025-01-01-00-04-15
WAVY01:41.700165,-8.830295:2025-01-01-00-04-20
WAVY01:41.699789,-8.830326:2025-01-01-00-04-25
WAVY01:41.699972,-8.830304:2025-01-01-00-04-30
WAVY02:40.639828,-8.650411:2025-01-01-00-05-00
WAVY02:40.639649,-8.650270:2025-01-01-00-05-05
WAVY02:40.640183,-8.649646:2025-01-01-00-05-10
WAVY02:40.639672,-8.649869:2025-01-01-00-05-15
WAVY02:40.640300,-8.650322:2025-01-01-00-05-20
WAVY02:40.639713,-8.650330:2025-01-01-00-05-25
WAVY02:40.639789,-8.650217:2025-01-01-00-05-30
WAVY02:40.640494,-8.650403:2025-01-01-00-05-35
WAVY02:40.639966,-8.650131:2025-01-01-00-05-40
WAVY02:40.639568,-8.650373:2025-01-01-00-05-45
WAVY02:40.639685,-8.649811:2025-01-01-00-05-50
WAVY02:40.640222,-8.649999:2025-01-01-00-05-55
WAVY02:40.640161,-8.649754:2025-01-01-00-06-00
WAVY02:40.639833,-8.650177:2025-01-01-00-06-05
WAVY02:40.639782,-8.649757:2025-01-01-00-06-10
WAVY01:41.700016,-8.829833:2025-01-01-00-04-35
WAVY01:41.699883,-8.830207:2025-01-01-00-04-40
WAVY01:41.699622,-8.830256:2025-01-01-00-04-45
WAVY01:41.700399,-8.830122:2025-01-01-00-04-50
WAVY01:41.700497,-8.829639:2025-01-01-00-04-55
WAVY01:41.700408,-8.830150:2025-01-01-00-05-00
WAVY01:41.700136,-8.829554:2025-01-01-00-05-05
WAVY01:41.699603,-8.830236:2025-01-01-00-05-10
WAVY01:41.700429,-8.829571:2025-01-01-00-05-15
WAVY01:41.699755,-8.829521:2025-01-01-00-05-20
WAVY02:40.639704,-8.649951:2025-01-01-00-06-15
WAVY02:40.639886,-8.649628:2025-01-01-00-06-20
WAVY02:40.639978,-8.650209:2025-01-01-00-06-25
WAVY02:40.640340,-8.650100:2025-01-01-00-06-30
WAVY02:40.640083,-8.649552:2025-01-01-00-06-35
WAVY01:41.699670,-8.829560:2025-01-01-00-05-25
WAVY01:41.699984,-8.829860:2025-01-01-00-05-30
WAVY01:41.699743,-8.830483:2025-01-01-00-05-35
WAVY01:41.699916,-8.829805:2025-01-01-00-05-40
WAVY01:41.699924,-8.830210:2025-01-01-00-05-45
WAVY01:41.699865,-8.830461:2025-01-01-00-05-50
WAVY01:41.699640,-8.830145:2025-01-01-00-05-55
WAVY01:41.699560,-8.830383:2025-01-01-00-06-00
WAVY01:41.699593,-8.830397:2025-01-01-00-06-05
WAVY01:41.699833,-8.830421:2025-01-01-00-06-10
WAVY01:41.699588,-8.829893:2025-01-01-00-06-15
WAVY01:41.700353,-8.830078:2025-01-01-00-06-20
WAVY01:41.700011,-8.829502:2025-01-01-00-06-25
WAVY01:41.699532,-8.829681:2025-01-01-00-06-30
WAVY01:41.699598,-8.829510:2025-01-01-00-06-35
WAVY02:40.639990,-8.649649:2025-01-01-00-06-40
WAVY02:40.639758,-8.649698:2025-01-01-00-06-45
WAVY02:40.640486,-8.649638:2025-01-01-00-06-50
WAVY02:40.640417,-8.649825:2025-01-01-00-06-55
WAVY02:40.639503,-8.649513:2025-01-01-00-07-00
WAVY01:41.700167,-8.829735:2025-01-01-00-06-40
WAVY01:41.699766,-8.830171:2025-01-01-00-06-45
WAVY01:41.699967,-8.830256:2025-01-01-00-06-50
WAVY01:41.699656,-8.830265:2025-01-01-00-06-55
WAVY01:41.700164,-8.829724:2025-01-01-00-07-00
WAVY02:40.640253,-8.650131:2025-01-01-00-07-05
WAVY02:40.640064,-8.650241:2025-01-01-00-07-10
WAVY02:40.639995,-8.649889:2025-01-01-00-07-15
WAVY02:40.640333,-8.650495:2025-01-01-00-07-20
WAVY02:40.639642,-8.650256:2025-01-01-00-07-25
WAVY01:41.699650,-8.829645:2025-01-01-00-07-05
WAVY01:41.699994,-8.829616:2025-01-01-00-07-10
WAVY01:41.700088,-8.829562:2025-01-01-00-07-15
WAVY01:41.700344,-8.829780:2025-01-01-00-07-20
WAVY01:41.700006,-8.830433:2025-01-01-00-07-25
WAVY02:40.639995,-8.650242:2025-01-01-00-07-30
WAVY02:40.639517,-8.650308:2025-01-01-00-07-35
WAVY02:40.639638,-8.649604:2025-01-01-00-07-40
WAVY02:40.640032,-8.650127:2025-01-01-00-07-45
WAVY02:40.639609,-8.650014:2025-01-01-00-07-50
WAVY01:41.700093,-8.829728:2025-01-01-00-07-30
WAVY01:41.700047,-8.830123:2025-01-01-00-07-35
WAVY01:41.700280,-8.830005:2025-01-01-00-07-40
WAVY01:41.699828,-8.829555:2025-01-01-00-07-45
WAVY01:41.699923,-8.829524:2025-01-01-00-07-50
WAVY02:40.639896,-8.650430:2025-01-01-00-07-55
WAVY02:40.639864,-8.649808:2025-01-01-00-08-00
WAVY02:40.639999,-8.649820:2025-01-01-00-08-05
WAVY02:40.639854,-8.650239:2025-01-01-00-08-10
WAVY02:40.639625,-8.649669:2025-01-01-00-08-15
WAVY02:38.720271,-9.139544:2025-01-01-00-00-00
WAVY02:38.720071,-9.139812:2025-01-01-00-00-05
WAVY02:38.719796,-9.140466:2025-01-01-00-00-10
WAVY02:38.719974,-9.140465:2025-01-01-00-00-15
WAVY02:38.719639,-9.140012:2025-01-01-00-00-20
WAVY01:40.639831,-8.650148:2025-01-01-00-00-00
WAVY01:40.640071,-8.649812:2025-01-01-00-00-05
WAVY01:40.639796,-8.649837:2025-01-01-00-00-10
WAVY01:40.639694,-8.650465:2025-01-01-00-00-15
WAVY01:40.639639,-8.650186:2025-01-01-00-00-20
WAVY02:38.720488,-9.139745:2025-01-01-00-00-25
WAVY02:38.720472,-9.140223:2025-01-01-00-00-30
WAVY02:38.719513,-9.139516:2025-01-01-00-00-35
WAVY02:38.720071,-9.140218:2025-01-01-00-00-40
WAVY02:38.720110,-9.140213:2025-01-01-00-00-45
WAVY01:40.639770,-8.650113:2025-01-01-00-00-25
WAVY01:40.640325,-8.649562:2025-01-01-00-00-30
WAVY01:40.640375,-8.650113:2025-01-01-00-00-35
WAVY01:40.640071,-8.650218:2025-01-01-00-00-40
WAVY01:40.640110,-8.650213:2025-01-01-00-00-45
WAVY02:38.719606,-9.139690:2025-01-01-00-00-50
WAVY02:38.719824,-9.140160:2025-01-01-00-00-55
WAVY02:38.719510,-9.140237:2025-01-01-00-01-00
WAVY02:38.720218,-9.140199:2025-01-01-00-01-05
WAVY02:38.720403,-9.139946:2025-01-01-00-01-10
WAVY01:40.639606,-8.649690:2025-01-01-00-00-50
WAVY01:40.640477,-8.650095:2025-01-01-00-00-55
WAVY01:40.640302,-8.650191:2025-01-01-00-01-00
WAVY01:40.640305,-8.649641:2025-01-01-00-01-05
WAVY01:40.639599,-8.649611:2025-01-01-00-01-10
WAVY01:40.640322,-8.649525:2025-01-01-00-01-15
WAVY01:40.640229,-8.649862:2025-01-01-00-01-20
WAVY01:40.640026,-8.650114:2025-01-01-00-01-25
WAVY01:40.639791,-8.649688:2025-01-01-00-01-30
WAVY01:40.639542,-8.650215:2025-01-01-00-01-35
WAVY02:38.719502,-9.140351:2025-01-01-00-01-15
WAVY02:38.720065,-9.140170:2025-01-01-00-01-20
WAVY02:38.719718,-9.139924:2025-01-01-00-01-25
WAVY02:38.719641,-9.139688:2025-01-01-00-01-30
WAVY02:38.719817,-9.140177:2025-01-01-00-01-35
WAVY02:38.719599,-9.139800:2025-01-01-00-01-40
WAVY02:38.720198,-9.140480:2025-01-01-00-01-45
WAVY02:38.720375,-9.139923:2025-01-01-00-01-50
WAVY02:38.720438,-9.140451:2025-01-01-00-01-55
WAVY02:38.719689,-9.139521:2025-01-01-00-02-00
WAVY01:40.639950,-8.649509:2025-01-01-00-01-40
WAVY01:40.640411,-8.650294:2025-01-01-00-01-45
WAVY01:40.639838,-8.650075:2025-01-01-00-01-50
WAVY01:40.640188,-8.649628:2025-01-01-00-01-55
WAVY01:40.640143,-8.650493:2025-01-01-00-02-00
WAVY02:38.719704,-9.139589:2025-01-01-00-02-05
WAVY02:38.720409,-9.140462:2025-01-01-00-02-10
WAVY02:38.720382,-9.140287:2025-01-01-00-02-15
WAVY02:38.719572,-9.139971:2025-01-01-00-02-20
WAVY02:38.720078,-9.140288:2025-01-01-00-02-25
WAVY02:38.720399,-9.140432:2025-01-01-00-02-30
WAVY02:38.720127,-9.140208:2025-01-01-00-02-35
WAVY02:38.720306,-9.139615:2025-01-01-00-02-40
WAVY02:38.720080,-9.140158:2025-01-01-00-02-45
WAVY02:38.720199,-9.140159:2025-01-01-00-02-50
WAVY01:40.639516,-8.649977:2025-01-01-00-02-05
WAVY01:40.640023,-8.650125:2025-01-01-00-02-10
WAVY01:40.639605,-8.649993:2025-01-01-00-02-15
WAVY01:40.640459,-8.649850:2025-01-01-00-02-20
WAVY01:40.640203,-8.650248:2025-01-01-00-02-25
WAVY02:38.720289,-9.139902:2025-01-01-00-02-55
WAVY02:38.720165,-9.140166:2025-01-01-00-03-00
WAVY02:38.719574,-9.139988:2025-01-01-00-03-05
WAVY02:38.719823,-9.139550:2025-01-01-00-03-10
WAVY02:38.719834,-9.140293:2025-01-01-00-03-15
WAVY01:40.640031,-8.649524:2025-01-01-00-02-30
WAVY01:40.640061,-8.650063:2025-01-01-00-02-35
WAVY01:40.639923,-8.649872:2025-01-01-00-02-40
WAVY01:40.640117,-8.649710:2025-01-01-00-02-45
WAVY01:40.639891,-8.649682:2025-01-01-00-02-50
WAVY02:38.719508,-9.140062:2025-01-01-00-03-20
WAVY02:38.719686,-9.139970:2025-01-01-00-03-25
WAVY02:38.719895,-9.140291:2025-01-01-00-03-30
WAVY02:38.719859,-9.139910:2025-01-01-00-03-35
WAVY02:38.719668,-9.139973:2025-01-01-00-03-40
WAVY01:40.639989,-8.649946:2025-01-01-00-02-55
WAVY01:40.639663,-8.650072:2025-01-01-00-03-00
WAVY01:40.639925,-8.649981:2025-01-01-00-03-05
WAVY01:40.640031,-8.650174:2025-01-01-00-03-10
WAVY01:40.639991,-8.649732:2025-01-01-00-03-15
WAVY02:38.720060,-9.139666:2025-01-01-00-03-45
WAVY02:38.720087,-9.139654:2025-01-01-00-03-50
WAVY02:38.720190,-9.140297:2025-01-01-00-03-55
WAVY02:38.719888,-9.139703:2025-01-01-00-04-00
WAVY02:38.719780,-9.140361:2025-01-01-00-04-05
WAVY01:40.639991,-8.649559:2025-01-01-00-03-20
WAVY01:40.640266,-8.649839:2025-01-01-00-03-25
WAVY01:40.640432,-8.649671:2025-01-01-00-03-30
WAVY01:40.639961,-8.650191:2025-01-01-00-03-35
WAVY01:40.640092,-8.650496:2025-01-01-00-03-40
WAVY01:40.640066,-8.650267:2025-01-01-00-03-45
WAVY01:40.640333,-8.650237:2025-01-01-00-03-50
WAVY01:40.640272,-8.649900:2025-01-01-00-03-55
WAVY01:40.640479,-8.650492:2025-01-01-00-04-00
WAVY01:40.640131,-8.650224:2025-01-01-00-04-05
WAVY02:38.719812,-9.139872:2025-01-01-00-04-10
WAVY02:38.720369,-9.140277:2025-01-01-00-04-15
WAVY02:38.719802,-9.140419:2025-01-01-00-04-20
WAVY02:38.719664,-9.140379:2025-01-01-00-04-25
WAVY02:38.720349,-9.140111:2025-01-01-00-04-30
WAVY01:40.640081,-8.649509:2025-01-01-00-04-10
WAVY01:40.640067,-8.649620:2025-01-01-00-04-15
WAVY01:40.640390,-8.649703:2025-01-01-00-04-20
WAVY01:40.639633,-8.650239:2025-01-01-00-04-25
WAVY01:40.639858,-8.649711:2025-01-01-00-04-30
WAVY02:38.720135,-9.140367:2025-01-01-00-04-35
WAVY02:38.720431,-9.139602:2025-01-01-00-04-40
WAVY02:38.719582,-9.140185:2025-01-01-00-04-45
WAVY02:38.719865,-9.140261:2025-01-01-00-04-50
WAVY02:38.720428,-9.140078:2025-01-01-00-04-55
WAVY01:40.640400,-8.649702:2025-01-01-00-04-35
WAVY01:40.640418,-8.649573:2025-01-01-00-04-40
WAVY01:40.639946,-8.650034:2025-01-01-00-04-45
WAVY01:40.639844,-8.650371:2025-01-01-00-04-50
WAVY01:40.639669,-8.650444:2025-01-01-00-04-55
WAVY02:38.720077,-9.140464:2025-01-01-00-05-00
WAVY02:38.719900,-9.140386:2025-01-01-00-05-05
WAVY02:38.719594,-9.140297:2025-01-01-00-05-10
WAVY02:38.720288,-9.140192:2025-01-01-00-05-15
WAVY02:38.720225,-9.139762:2025-01-01-00-05-20
WAVY01:40.640138,-8.650229:2025-01-01-00-05-00
WAVY01:40.639941,-8.649804:2025-01-01-00-05-05
WAVY01:40.640032,-8.650259:2025-01-01-00-05-10
WAVY01:40.640493,-8.649831:2025-01-01-00-05-15
WAVY01:40.639901,-8.650387:2025-01-01-00-05-20
WAVY01:40.640288,-8.649759:2025-01-01-00-05-25
WAVY01:40.639786,-8.649738:2025-01-01-00-05-30
WAVY01:40.640294,-8.650433:2025-01-01-00-05-35
WAVY01:40.640250,-8.649571:2025-01-01-00-05-40
WAVY01:40.640463,-8.649724:2025-01-01-00-05-45
WAVY02:38.719960,-9.139517:2025-01-01-00-05-25
WAVY02:38.720277,-9.139588:2025-01-01-00-05-30
WAVY02:38.720269,-9.140460:2025-01-01-00-05-35
WAVY02:38.720150,-9.140115:2025-01-01-00-05-40
WAVY02:38.719690,-9.140481:2025-01-01-00-05-45
WAVY02:38.720152,-9.139574:2025-01-01-00-05-50
WAVY02:38.720498,-9.139600:2025-01-01-00-05-55
WAVY02:38.720177,-9.139692:2025-01-01-00-06-00
WAVY02:38.720362,-9.139553:2025-01-01-00-06-05
WAVY02:38.719636,-9.139748:2025-01-01-00-06-10
WAVY01:40.640087,-8.649934:2025-01-01-00-05-50
WAVY01:40.639533,-8.649600:2025-01-01-00-05-55
WAVY01:40.639945,-8.650106:2025-01-01-00-06-00
WAVY01:40.640396,-8.649553:2025-01-01-00-06-05
WAVY01:40.639569,-8.649626:2025-01-01-00-06-10
WAVY01:40.640153,-8.649692:2025-01-01-00-06-15
WAVY01:40.639591,-8.649850:2025-01-01-00-06-20
WAVY01:40.639700,-8.650370:2025-01-01-00-06-25
WAVY01:40.640413,-8.649726:2025-01-01-00-06-30
WAVY01:40.639510,-8.649732:2025-01-01-00-06-35
WAVY02:38.720008,-9.139847:2025-01-01-00-06-15
WAVY02:38.720327,-9.139850:2025-01-01-00-06-20
WAVY02:38.720133,-9.139664:2025-01-01-00-06-25
WAVY02:38.719532,-9.140397:2025-01-01-00-06-30
WAVY02:38.719893,-9.140321:2025-01-01-00-06-35
WAVY02:38.720106,-9.139810:2025-01-01-00-06-40
WAVY02:38.720173,-9.139669:2025-01-01-00-06-45
WAVY02:38.719842,-9.140442:2025-01-01-00-06-50
WAVY02:38.719675,-9.139796:2025-01-01-00-06-55
WAVY02:38.720000,-9.140410:2025-01-01-00-07-00
WAVY02:38.719974,-9.140254:2025-01-01-00-07-05
WAVY02:38.720269,-9.139779:2025-01-01-00-07-10
WAVY02:38.719712,-9.139722:2025-01-01-00-07-15
WAVY02:38.720359,-9.140219:2025-01-01-00-07-20
WAVY02:38.719806,-9.140063:2025-01-01-00-07-25
WAVY01:40.639976,-8.649937:2025-01-01-00-06-40
WAVY01:40.639904,-8.650067:2025-01-01-00-06-45
WAVY01:40.639739,-8.650033:2025-01-01-00-06-50
WAVY01:40.639502,-8.650499:2025-01-01-00-06-55
WAVY01:40.639955,-8.650250:2025-01-01-00-07-00
WAVY02:38.720096,-9.140089:2025-01-01-00-07-30
WAVY02:38.719927,-9.140486:2025-01-01-00-07-35
WAVY02:38.720340,-9.139735:2025-01-01-00-07-40
WAVY02:38.719932,-9.139601:2025-01-01-00-07-45
WAVY02:38.719528,-9.140034:2025-01-01-00-07-50
WAVY01:40.640024,-8.649888:2025-01-01-00-07-05
WAVY01:40.639722,-8.649708:2025-01-01-00-07-10
WAVY01:40.640025,-8.650348:2025-01-01-00-07-15
WAVY01:40.639543,-8.650194:2025-01-01-00-07-20
WAVY01:40.639645,-8.649713:2025-01-01-00-07-25
WAVY02:38.719712,-9.140393:2025-01-01-00-07-55
WAVY02:38.720090,-9.140015:2025-01-01-00-08-00
WAVY02:38.719864,-9.139974:2025-01-01-00-08-05
WAVY02:38.719793,-9.139682:2025-01-01-00-08-10
WAVY02:38.719683,-9.140341:2025-01-01-00-08-15
WAVY01:40.640276,-8.650346:2025-01-01-00-07-30
WAVY01:40.639976,-8.650424:2025-01-01-00-07-35
WAVY01:40.639532,-8.649713:2025-01-01-00-07-40
WAVY01:40.639642,-8.649624:2025-01-01-00-07-45
WAVY01:40.640238,-8.649845:2025-01-01-00-07-50
WAVY02:38.719888,-9.139790:2025-01-01-00-08-20
WAVY02:38.719583,-9.139502:2025-01-01-00-08-25
WAVY02:38.719727,-9.139964:2025-01-01-00-08-30
WAVY02:38.720473,-9.139993:2025-01-01-00-08-35
WAVY02:38.720127,-9.139726:2025-01-01-00-08-40
WAVY01:40.639812,-8.649611:2025-01-01-00-07-55
WAVY01:40.640149,-8.650098:2025-01-01-00-08-00
WAVY01:40.640389,-8.649556:2025-01-01-00-08-05
WAVY01:40.640212,-8.649980:2025-01-01-00-08-10
WAVY01:40.640424,-8.649922:2025-01-01-00-08-15
WAVY02:38.719881,-9.139660:2025-01-01-00-08-45
WAVY02:38.719946,-9.140021:2025-01-01-00-08-50
WAVY02:38.720174,-9.140407:2025-01-01-00-08-55
WAVY02:38.720022,-9.140119:2025-01-01-00-09-00
WAVY02:38.720356,-9.139975:2025-01-01-00-09-05
WAVY01:40.640019,-8.650072:2025-01-01-00-08-20
WAVY01:40.640267,-8.650339:2025-01-01-00-08-25
WAVY01:40.639527,-8.649701:2025-01-01-00-08-30
WAVY01:40.639564,-8.650388:2025-01-01-00-08-35
WAVY01:40.639953,-8.650040:2025-01-01-00-08-40
WAVY02:38.720461,-9.139614:2025-01-01-00-09-10
WAVY02:38.719661,-9.140039:2025-01-01-00-09-15
WAVY02:38.720387,-9.140473:2025-01-01-00-09-20
WAVY02:38.720299,-9.140436:2025-01-01-00-09-25
WAVY02:38.719612,-9.140047:2025-01-01-00-09-30
WAVY02:38.719960,-9.140403:2025-01-01-00-09-35
WAVY02:38.720225,-9.139976:2025-01-01-00-09-40
WAVY02:38.719847,-9.140424:2025-01-01-00-09-45
WAVY02:38.720038,-9.140404:2025-01-01-00-09-50
WAVY02:38.720038,-9.139524:2025-01-01-00-09-55
WAVY01:40.640445,-8.650403:2025-01-01-00-08-45
WAVY01:40.639515,-8.649976:2025-01-01-00-08-50
WAVY01:40.639576,-8.649962:2025-01-01-00-08-55
WAVY01:40.639596,-8.649607:2025-01-01-00-09-00
WAVY01:40.640393,-8.649524:2025-01-01-00-09-05
WAVY02:38.720277,-9.139532:2025-01-01-00-10-00
WAVY02:38.720160,-9.139836:2025-01-01-00-10-05
WAVY02:38.719533,-9.139518:2025-01-01-00-10-10
WAVY02:38.719777,-9.139513:2025-01-01-00-10-15
WAVY02:38.720489,-9.139946:2025-01-01-00-10-20
WAVY01:40.640468,-8.649840:2025-01-01-00-09-10
WAVY01:40.639612,-8.649921:2025-01-01-00-09-15
WAVY01:40.640059,-8.649518:2025-01-01-00-09-20
WAVY01:40.639927,-8.649513:2025-01-01-00-09-25
WAVY01:40.640054,-8.649540:2025-01-01-00-09-30
WAVY02:38.720251,-9.139714:2025-01-01-00-10-25
WAVY02:38.720343,-9.139545:2025-01-01-00-10-30
WAVY02:38.720000,-9.140202:2025-01-01-00-10-35
WAVY02:38.720368,-9.139953:2025-01-01-00-10-40
WAVY02:38.720077,-9.140271:2025-01-01-00-10-45
WAVY01:40.639557,-8.650098:2025-01-01-00-09-35
WAVY01:40.639713,-8.649812:2025-01-01-00-09-40
WAVY01:40.640483,-8.650334:2025-01-01-00-09-45
WAVY01:40.640047,-8.649923:2025-01-01-00-09-50
WAVY01:40.639954,-8.650032:2025-01-01-00-09-55
WAVY01:38.529768,-8.889837:2025-01-01-00-00-00
WAVY01:38.529631,-8.890470:2025-01-01-00-00-05
WAVY01:38.530262,-8.889898:2025-01-01-00-00-10
WAVY01:38.529643,-8.890490:2025-01-01-00-00-15
WAVY01:38.529507,-8.890154:2025-01-01-00-00-20
WAVY02:41.699730,-8.829557:2025-01-01-00-00-00
WAVY02:41.700309,-8.830323:2025-01-01-00-00-05
WAVY02:41.699991,-8.829738:2025-01-01-00-00-10
WAVY02:41.699643,-8.830490:2025-01-01-00-00-15
WAVY02:41.700134,-8.830356:2025-01-01-00-00-20
WAVY01:38.529780,-8.890373:2025-01-01-00-00-25
WAVY01:38.530152,-8.890453:2025-01-01-00-00-30
WAVY01:38.529547,-8.889652:2025-01-01-00-00-35
WAVY01:38.529950,-8.890288:2025-01-01-00-00-40
WAVY01:38.529777,-8.890332:2025-01-01-00-00-45
WAVY02:41.699627,-8.830268:2025-01-01-00-00-25
WAVY02:41.700152,-8.830453:2025-01-01-00-00-30
WAVY02:41.699590,-8.829652:2025-01-01-00-00-35
WAVY02:41.699521,-8.829666:2025-01-01-00-00-40
WAVY02:41.699668,-8.829780:2025-01-01-00-00-45
WAVY02:41.699543,-8.830178:2025-01-01-00-00-50
WAVY02:41.700018,-8.830116:2025-01-01-00-00-55
WAVY02:41.699759,-8.830488:2025-01-01-00-01-00
WAVY02:41.700216,-8.829962:2025-01-01-00-01-05
WAVY02:41.699761,-8.829538:2025-01-01-00-01-10
WAVY01:38.529543,-8.890178:2025-01-01-00-00-50
WAVY01:38.530018,-8.890116:2025-01-01-00-00-55
WAVY01:38.529512,-8.890428:2025-01-01-00-01-00
WAVY01:38.530216,-8.889962:2025-01-01-00-01-05
